50 50
1 1 -4
29 1 12
2 2 1
3 3 1
4 4 1
5 5 1
26 5 -4
6 6 1
26 6 2
43 6 -2
4 7 2
7 7 1
11 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
27 12 -3
13 13 1
17 13 2
20 13 5
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
19 19 1
9 20 5
20 20 1
26 20 5
43 20 -5
50 20 1
21 21 1
22 22 1
23 23 1
24 23 -1
24 24 1
19 25 20
25 25 1
30 25 -4
26 26 1
27 27 1
28 28 1
29 29 1
19 30 -5
30 30 1
31 31 1
27 32 1
32 32 1
33 33 1
34 34 1
8 35 -5
35 35 1
44 35 3
6 36 -4
36 36 1
46 36 1
37 37 1
26 38 2
38 38 1
39 39 1
11 40 5
40 40 1
41 41 1
8 42 -20
35 42 4
42 42 1
8 43 -20
26 43 -1
35 43 4
43 43 1
44 44 1
5 45 -3
26 45 12
34 45 -4
45 45 1
6 46 -4
46 46 1
26 47 3
47 47 1
48 48 1
49 49 1
50 50 1
